-9075.77	6000	0
-9074.7	5813.26	1.78E-15
-9074.53	6186.32	3.55E-15
-9072.9	5500	1.78E-15
-9072.45	6500	3.55E-15
-9069.52	6673.79	1.78E-15
-9065.91	5164.78	0
-9064.02	7000	-1.78E-15
-9062.48	5000	0
-9056.87	4857.83	3.55E-15
-9054.81	7362.97	0
-9051.34	7500	0
-9047.48	7618.7	1.78E-15
-9042.76	4500	0
-9035.09	8000	3.55E-15
-9017.51	8456.23	-2.66E-15
-9015.82	8500	-4.44E-16
-9014.27	8535.66	-1.33E-15
-9013.64	4034.09	-2.66E-15
-9000	4500	-11.5373
-9000	5000	-16.8591
-9000	5500	-19.6713
-9000	4000	-3.10451
-9000	3873.86	4.44E-16
-9000	6000	-20.4448
-9000	6500	-19.5489
-9000	8500	-4.26975
-9000	8862.35	2.22E-16
-9000	7500	-13.853
-9000	8000	-9.46839
-9000	7000	-17.2747
-8993.76	8984.41	0
-8992.97	9000	-8.88E-16
-8991.82	9020.46	-1.33E-15
-8964.85	9500	1.78E-15
-8960.11	3500	2.66E-15
-8943.14	9857.85	0
-8934.52	10000	-1.78E-15
-8916.76	3208.11	-1.78E-15
-8915.83	10289.6	-1.78E-15
-8902.25	10500	1.78E-15
-8885.85	3000	1.78E-15
-8882.28	10794.3	1.78E-15
-8868.32	11000	-1.78E-15
-8858.04	11145.1	1.78E-15
-8832.91	11500	2.66E-15
-8800	3000	-19.8022
-8800	2571.11	-1.33E-15
-8800	8500	-50.4032
-8800	9000	-44.5115
-8800	3500	-36.9317
-8800	9500	-38.0259
-8800	10000	-31.0283
-8800	11000	-15.7587
-8800	11500	-7.59227
-8800	10500	-23.5868
-8800	11948.5	1.11E-16
-8800	4000	-49.238
-8800	4500	-57.6707
-8800	8000	-55.6019
-8800	5000	-62.9926
-8800	7500	-59.9865
-8800	5500	-65.8048
-8800	6000	-66.5783
-8800	6500	-65.6824
-8800	7000	-63.4082
-8795.35	12000	-1.67E-15
-8782.47	2500	0
-8758.45	12396.1	8.88E-16
-8748.77	12500	0
-8732.67	12668.3	-1.78E-15
-8708.75	2271.87	-2.22E-16
-8700.95	13000	1.78E-15
-8681.11	13202.8	3.55E-15
-8652.04	13500	1.78E-15
-8641.65	13604.1	2.66E-15
-8620.88	2000	-8.88E-16
-8610.3	1974.26	2.66E-15
-8602.14	14000	-9.44E-16
